Question_ID,Serial_No,stem,Tag,Textbook-chap
2016_BS_Q01,1,Laboratory diagnosis of enteric fever,Microbiology;Bacteriology;Enteric fever;Laboratory diagnosis,Bailey and scott-ch 19
2016_BS_Q02,2,Diffuse infiltrative lymphocytosis syndrome,Immunology;HIV;Describe,
2016_BS_Q03,3,"Pacemaker; types, indications, complications",Cardiology;Devices;Indications;Complications;Describe,
2016_BS_Q04,4,Mucormycosis,Microbiology;InfectiousDiseases;Fungal;Describe,
2016_BS_Q05,5,Non Cirrhotic portal hypertension,Hepatology;PortalHypertension;NonCirrhotic;Describe,
2016_BS_Q06,6,Pathogenesis of tetanus,Microbiology;Neuro;Pathophysiology;Describe,
2016_BS_Q07,7,ACE Inhibitors,Pharmacology;Cardiology;Describe,
2016_BS_Q08,8,C-peptide assay,Endocrine;Diagnostics;Describe,
2016_BS_Q09,9,omnious octet in diabetes pathophysiology,Endocrine;Pathophysiology;Diabetes;Describe,
2016_BS_Q10,10,"Discuss the clinical features , diagnosis and management of Vitamin D deficiency in adults and its implications",Biochemistry;Vitamins;ClinicalFeatures;Diagnosis;Discuss,
