Question_ID,Serial_Number,Stem,Tags
2023_BS_Q01,1,Draw the course of recurrent laryngeal nerve and write a note on its applied anatomy,Anatomy;Neuro;Diagram;Describe
2023_BS_Q02,2,Calcium metabolism and kidney,Endocrine;Renal;Calcium;Describe
2023_BS_Q03,3,Bilirubin metabolism,Physiology;Liver;Metabolism;Describe
2023_BS_Q04,4,Angiotensin Receptor-Neprilysin Inhibitors,Pharmacology;Cardiology;Describe
2023_BS_Q05,5,Severe combined immunodeficiency,Immunology;Genetics;Describe
2023_BS_Q06,6,Role of lymphnode biopsy in clinical medicine .,Pathology;LymphNodes;Diagnostics;Describe
2023_BS_Q07,7,Thiamine deficiency,Nutrition;Neurology;Describe
2023_BS_Q08,8,Mediterranean diet,Nutrition;Cardiology;Describe
2023_BS_Q09,9,Renal tubular acidosis,Renal;TubularDisorders;Pathophysiology;Describe
2023_BS_Q10,10,Drug induced dyselectrolytemia,Pharmacology;Electrolytes;SideEffects;Describe
