Question_ID,Serial_Number,Stem,Tags
2024_BS_Q01,1,"Draw a neat, labelled diagram of nephron. Discuss functions of different segments and How to estimate Glomerular filtration rate.",Anatomy;Renal;Diagram;Describe
2024_BS_Q02,2,Describe in detail the Vitamin D metabolism.,Physiology;Endocrine;Describe
2024_BS_Q03,3,Describe the method of CBNAAT. Discuss the pros and cons of this test.,Microbiology;InfectiousDiseases;Diagnostics;Discuss
2024_BS_Q04,4,Bedaquiline,Pharmacology;InfectiousDiseases;Describe
2024_BS_Q05,5,Life cycle of Echinococcus granulosus.,Microbiology;Parasitology;Describe
2024_BS_Q06,6,Discuss the gross and microscopic pathology of Syphilitic Aortic Regurgitation,Pathology;Liver;Describe
2024_BS_Q07,7,Describe the human Folic acid Metabolism. Discuss Preconceptual folate supplementation and neural tube defects.,Biochemistry;Vitamins;Metabolism;Discuss
2024_BS_Q08,8,Total parenteral Nutrition (TPN),Physiology;Nutrition;GI;Management;Describe
2024_BS_Q09,9,Portacaval Anastomosis.,Anatomy;PortalSystem;Describe
2024_BS_Q10,10,"Aetiology, assessment and management of Metabolic acidosis",Endocrine;Metabolism;Management;Discuss
