"Question_ID,Serial_Number,Stem,Tags",,,,
"2020_ID_Q01,1,""Discuss sources, metabolism, toxicity and management of heavy metal poisoning"",InfectiousDiseases",Nutrition,Toxicology,Management,Discuss
"2020_ID_Q02,2,""Discuss Classification, clinical presentation and treatment of NTM (Non Tubercular Mycobacteria)"",InfectiousDiseases",Leprosy,ClinicalFeatures,Management,Discuss
"2020_ID_Q03,3,Define and classify vasculitis syndrome. Discuss potential mechanisms of vessel damage in vasculitis syndrome.,Immunology",Vasculitis,Classification,Management,Discuss
"2020_ID_Q04,4,Recent guidelines in the management of HIV.,InfectiousDiseases",HIV,RecentGuideline,Management,Discuss
"2020_ID_Q05,5,Dengue Vaccine,InfectiousDiseases",Virology,Vaccination,Describe,
"2020_ID_Q06,6,Serological Markers of Sepsis,InfectiousDiseases",Sepsis,Diagnostics,Serology,Describe
"2020_ID_Q07,7,Approach to the patient with Acute Febrile illness,InfectiousDiseases",FebrileIllness,Approach,Describe,
"2020_ID_Q08,8,Discuss Microbial pathogens that can cause lung abscess and management of lung abscess,InfectiousDiseases",Pneumonia,Pathogens,Discuss,
"2020_ID_Q09,9,Discuss differential diagnosis and management of viral Encephalitis,InfectiousDiseases",DifferentialDiagnosis,Management,Discuss,
"2020_ID_Q10,10,Management of Venomous snakebite,InfectiousDiseases",SnakeBite,Toxicology,Management,Describe
