Question_ID,Serial_Number,Stem,Tags
2021_ID_Q01,1,"Discuss pathophysiology, clinical features and management of complicated malaria.",InfectiousDiseases;COVID19;Pathophysiology;ClinicalFeatures;Management;Discuss
2021_ID_Q02,2,"Describe clinical features, diagnosis of HIV associated tuberculosis and management.",InfectiousDiseases;HIV;OpportunisticInfections;Diagnosis;Describe
2021_ID_Q03,3,Describe clinical features of Influenza and management.,InfectiousDiseases;Influenza;ClinicalFeatures;Management;Describe
2021_ID_Q04,4,Adult Immunization.,InfectiousDiseases;Vaccination;Adults;Describe
2021_ID_Q05,5,Scorpion Bite,InfectiousDiseases;Toxicology;ScorpionBite;Describe
2021_ID_Q06,6,Cardiotoxic poisons seen in tropics,Toxicology;Cardiology;TropicalMedicine;Describe
2021_ID_Q07,7,Brucellosis,InfectiousDiseases;Zoonosis;Describe
2021_ID_Q08,8,Necrotizing Fasciitis.,InfectiousDiseases;SoftTissue;Pathophysiology;Describe
2021_ID_Q09,9,Newere antimalarial agents,InfectiousDiseases;Malaria;Pharmacology;Describe
2021_ID_Q10,10,approach to diarrohea in Hiv positive patients,InfectiousDiseases;HIV;GI;Approach;Describe
