"Question_ID,Serial_Number,Stem,Tags",,,,
"2022_ID_Q01,1,Management of poisonous snake bite in India,InfectiousDiseases",Toxicology,SnakeBite,Management,Describe
"2022_ID_Q02,2,Acetaminophen Toxicity,Toxicology",Pharmacology,Liver,Management,Describe
"2022_ID_Q03,3,Scrofuloderma,InfectiousDiseases",Tuberculosis,Skin,Scrofuloderma,Describe
"2022_ID_Q04,4,Post exposure prophylaxis for HIV,InfectiousDiseases",HIV,PostExposureProphylaxis,Describe,
"2022_ID_Q05,5,Covid-19 vaccines,InfectiousDiseases",COVID19,Vaccination,Describe,
"2022_ID_Q06,6,Classify UTI syndromes. Write a note on Asymptomatic bacteruria,InfectiousDiseases",UTI,Classification,AsymptomaticBacteriuria,Describe
"2022_ID_Q07,7,Hydatid disease,InfectiousDiseases",Parasitology,Hydatid,Describe,
"2022_ID_Q08,8,Scrub typhus ,InfectiousDiseases",Rickettsial,ScrubTyphus,Describe,
"2022_ID_Q09,9,Antibiotic stewardship ,InfectiousDiseases",Pharmacology,AntibioticStewardship,Explain,
"2022_ID_Q10,10,Ventilator associated pneumonia ,InfectiousDiseases",VAP,Diagnosis,Management,Discuss
