
--- Sheet: Short_Essays_Snippet ---
serial number                                                                                                                                             question
            3                                                                                                                             Venous drainage of brain
            4                                                                                                             SA node potential and drugs acting on it
            5                                                                        Uric acid metabolism with site of action of drugs which lower uric acid level
            6                                                                                                                                Gram negative bacilli
            7                                                                                                                                     Pharmacogenomics
            8                                                                                                                           Total parenteral nutrition
            9 Discuss the differential diagnosis of patient with elevated  core body temperature and note on the difference between hyperpyrexia and hyperthermia.
           10                                                      Obesity -systemic effects , drugs , bariatric surgery its indications , types and complications
          NaN                                                                                                                                                  NaN
   Paper year                                                                                                                                                 2015
 Paper  title                                                                                                                                        Basic science
