
--- Sheet: Basic_Science_Applied_to_Clinic ---
 serial number                                                                                               question
             1 Trace the course of facial nerve and write brief notes on the applied anatomical aspects of each part.
             2                                 Explain the applied physiology of thyroid hormone synthesis in detail.
             3                                                                                     Calcium metabolism
             4                                                                                       SGLT2 inhibitors
             5                                                                       Life cycle of Falciparum malaria
             6                                                Role of bone marrow studies in the evaluation of anemia
             7                                                       Medical nutritional therapy for kidney disorders
             8                                                                                               Cachexia
             9                                                                                     Periodic paralysis
            10                                                                         Drug induced dyselectrolytemia
