
--- Sheet: Basic Science-2023 ---
 serial number                                                                              question
             1 Draw the course of recurrent laryngeal nerve and write a note on its applied anatomy 
             2                                                         Calcium metabolism and kidney
             3                                                                 Bilirubin metabolism 
             4                                           Angiotensin Receptor-Neprilysin Inhibitors 
             5                                                     Severe combined immunodeficiency 
             6                                       Role of lymphnode biopsy in clinical medicine .
             7                                                                   Thiamine deficiency
             8                                                                    Mediterranean diet
             9                                                                Renal tubular acidosis
            10                                                       Drug induced dyselectrolytemia 
