
--- Sheet: Recent advances -2022 ---
 serial number                                                                                                                                                  question
             1                                                                                                 Describe advances in treatment of coronary artery disease
             2                                                                                          Describe newer drugs in treating insomnia including daridorexant
             3                                                                 Describe gene therapy for disorders of hemoglobin including sickle anemia and thalassemia
             4                                                                                                   Microbiome in systemic lupus erythematosus pathogenosis
             5                                                                            In clinical trials what are phases of clinical testing(Phase 0 to phase IV) . 
             6                                                                                                                                                 Delamanid
             7                                                                                                  Discuss recent stroke management and residual challenges
             8 Discuss new approaches along the IBD course, including diet,tight control and stem cells. Discuss proactive serial monitoring of inflammatory biomarkers.
             9                                                           Cardiac injury and COVID-19 associated coagulopathy in patients with acute SARS CoV-2 pneumonia
            10                                                                                                                     Immunologics for migrane prophylaxis.
