
--- Sheet: Recent advances-2023 ---
 serial number                                        question
             1            ESC guidelines 2022 for hypertension
             2       ADA guidelines 2023 for Diabetes Mellitus
             3                                  Bembedoic acid
             4                                      Nintedanib
             5 Emerging therapeutic strategies in septic shock
             6  Newer diagnostic tests for Aizheimer's disease
             7                      Public health surveillance
             8                              Internet addiction
             9                          Area under curve (AUC)
            10  Novel biomarkers in kidney diseases 1 mn ‘2 ea
