
--- Sheet: Systemic_Medicine_Paper_II_June ---
 serial number                                                                                          question
             1                            Describe cardiomyopathies. Compare the clinical features and diagnosis
             2 Discuss the clinical neurological syndromes of Central nervous system TB infection and management
             3                                                                                      Osteoporosis
             4                                                        Palliative care of end stage renal disease
             5                                                                              Budd Chiari syndrome
             6                                                                            Promyelocytic Leukemia
             7                                                                       Bronchial asthma management
             8                                                  Evaluation of a newly diagnosed diabetic patient
             9                                                                       Adult onset stills disease 
            10                                                                           Diastolic heart failure
